,Car_name,Year,Price,Location,Status,Ratings,Mileage
2463,Toyota Camry,2007,"₦ 3,315,000","Meiran, Lagos",Foreign Used,4.5,"10,000 km"
2464,Acura TL,2010,"₦ 4,215,000","Ogba, Lagos",Foreign Used,4.8,"100,000 km"
2465,Toyota Camry,2010,"₦ 3,015,000","Ikeja, Lagos",Foreign Used,4.8,"120,584 km"
2466,Mercedes-Benz ML 350,2010,"₦ 6,215,000","Berger Mkt, Lagos",Foreign Used,4.9,"67,164 km"
2467,Nissan Pathfinder,2005,"₦ 915,000","Eliozu, Port Harcourt",Locally Used,4.6,"106,575 km"
2468,Mercedes-Benz GLC 300,2016,"₦ 17,015,000","Ikate, Lekki, Lagos",Foreign Used,5.0,"30,175 km"
2469,Honda CR-V,2015,"₦ 8,015,000","Kubuwa Expressway, Abuja",Foreign Used,5.0,"96,057 km"
2470,Lexus RX 350,2008,"₦ 4,915,000","Ogba, Lagos",Foreign Used,4.9,"85,552 km"
2471,Mercedes-Benz ML 350,2007,"₦ 4,765,000","Berger Mkt, Lagos",Foreign Used,5.0,"215,752 km"
2472,Honda Crosstour,2012,"₦ 5,015,000","Berger Mkt, Lagos",Foreign Used,5.0,"193,536 km"
2473,Acura MDX,2008,"₦ 4,515,000","Berger Mkt, Lagos",Foreign Used,5.0,"145,227 km"
2474,Acura MDX,2008,"₦ 4,515,000","Berger Mkt, Lagos",Foreign Used,5.0,"43,219 km"
2475,Toyota Highlander,2005,"₦ 3,915,000","Arepo, Ogun",Foreign Used,4.9,"71,909 km"
2476,Toyota Venza,2012,"₦ 8,315,000","Berger Mkt, Lagos",Foreign Used,5.0,"58,317 km"
2477,Toyota Venza,2011,"₦ 7,515,000","Berger Mkt, Lagos",Foreign Used,5.0,"55,448 km"
2478,Honda Crosstour,2012,"₦ 6,015,000","Igando, Lagos",Foreign Used,5.0,"130,778 km"
2479,Ford Fusion,2010,"₦ 2,815,000","Ogba, Lagos",Foreign Used,4.8,"100,000 km"
